country_iso3,country_name,longitude,latitude,wb_region_code,admin_region_code,lending_type,income_level,capital_city,wb_region_name
ABW,Aruba,-70.0167,12.5167,LCN,,LNX,HIC,Oranjestad,Latin America & Caribbean 
AFG,Afghanistan,69.1761,34.5228,SAS,SAS,IDX,LIC,Kabul,South Asia
AGO,Angola,13.242,-8.81155,SSF,SSA,IBD,LMC,Luanda,Sub-Saharan Africa 
ALB,Albania,19.8172,41.3317,ECS,ECA,IBD,UMC,Tirane,Europe & Central Asia
AND,Andorra,1.5218,42.5075,ECS,,LNX,HIC,Andorra la Vella,Europe & Central Asia
ARE,United Arab Emirates,54.3705,24.4764,MEA,,LNX,HIC,Abu Dhabi,Middle East & North Africa
ARG,Argentina,-58.4173,-34.6118,LCN,LAC,IBD,UMC,Buenos Aires,Latin America & Caribbean 
ARM,Armenia,44.509,40.1596,ECS,ECA,IBD,UMC,Yerevan,Europe & Central Asia
ASM,American Samoa,-170.691,-14.2846,EAS,EAP,LNX,UMC,Pago Pago,East Asia & Pacific
ATG,Antigua and Barbuda,-61.8456,17.1175,LCN,,IBD,HIC,Saint John's,Latin America & Caribbean 
AUS,Australia,149.129,-35.282,EAS,,LNX,HIC,Canberra,East Asia & Pacific
AUT,Austria,16.3798,48.2201,ECS,,LNX,HIC,Vienna,Europe & Central Asia
AZE,Azerbaijan,49.8932,40.3834,ECS,ECA,IBD,UMC,Baku,Europe & Central Asia
BDI,Burundi,29.3639,-3.3784,SSF,SSA,IDX,LIC,Bujumbura,Sub-Saharan Africa 
BEL,Belgium,4.36761,50.8371,ECS,,LNX,HIC,Brussels,Europe & Central Asia
BEN,Benin,2.6323,6.4779,SSF,SSA,IDX,LMC,Porto-Novo,Sub-Saharan Africa 
BFA,Burkina Faso,-1.53395,12.3605,SSF,SSA,IDX,LIC,Ouagadougou,Sub-Saharan Africa 
BGD,Bangladesh,90.4113,23.7055,SAS,SAS,IDX,LMC,Dhaka,South Asia
BGR,Bulgaria,23.3238,42.7105,ECS,ECA,IBD,UMC,Sofia,Europe & Central Asia
BHR,Bahrain,50.5354,26.1921,MEA,,LNX,HIC,Manama,Middle East & North Africa
BHS,"Bahamas, The",-77.339,25.0661,LCN,,LNX,HIC,Nassau,Latin America & Caribbean 
BIH,Bosnia and Herzegovina,18.4214,43.8607,ECS,ECA,IBD,UMC,Sarajevo,Europe & Central Asia
BLR,Belarus,27.5766,53.9678,ECS,ECA,IBD,UMC,Minsk,Europe & Central Asia
BLZ,Belize,-88.7713,17.2534,LCN,LAC,IBD,UMC,Belmopan,Latin America & Caribbean 
BMU,Bermuda,-64.706,32.3293,NAC,,LNX,HIC,Hamilton,North America
BOL,Bolivia,-66.1936,-13.9908,LCN,LAC,IBD,LMC,La Paz,Latin America & Caribbean 
BRA,Brazil,-47.9292,-15.7801,LCN,LAC,IBD,UMC,Brasilia,Latin America & Caribbean 
BRB,Barbados,-59.6105,13.0935,LCN,,LNX,HIC,Bridgetown,Latin America & Caribbean 
BRN,Brunei Darussalam,114.946,4.94199,EAS,,LNX,HIC,Bandar Seri Begawan,East Asia & Pacific
BTN,Bhutan,89.6177,27.5768,SAS,SAS,IDX,LMC,Thimphu,South Asia
BWA,Botswana,25.9201,-24.6544,SSF,SSA,IBD,UMC,Gaborone,Sub-Saharan Africa 
CAF,Central African Republic,21.6407,5.63056,SSF,SSA,IDX,LIC,Bangui,Sub-Saharan Africa 
CAN,Canada,-75.6919,45.4215,NAC,,LNX,HIC,Ottawa,North America
CHE,Switzerland,7.44821,46.948,ECS,,LNX,HIC,Bern,Europe & Central Asia
CHI,Channel Islands,,,ECS,,LNX,HIC,,Europe & Central Asia
CHL,Chile,-70.6475,-33.475,LCN,,IBD,HIC,Santiago,Latin America & Caribbean 
CHN,China,116.286,40.0495,EAS,EAP,IBD,UMC,Beijing,East Asia & Pacific
CIV,Cote d'Ivoire,-4.0305,5.332,SSF,SSA,IDX,LMC,Yamoussoukro,Sub-Saharan Africa 
CMR,Cameroon,11.5174,3.8721,SSF,SSA,IDB,LMC,Yaounde,Sub-Saharan Africa 
COD,"Congo, Dem. Rep.",15.3222,-4.325,SSF,SSA,IDX,LIC,Kinshasa,Sub-Saharan Africa 
COG,"Congo, Rep.",15.2662,-4.2767,SSF,SSA,IDB,LMC,Brazzaville,Sub-Saharan Africa 
COL,Colombia,-74.082,4.60987,LCN,LAC,IBD,UMC,Bogota,Latin America & Caribbean 
COM,Comoros,43.2418,-11.6986,SSF,SSA,IDX,LMC,Moroni,Sub-Saharan Africa 
CPV,Cabo Verde,-23.5087,14.9218,SSF,SSA,IDB,LMC,Praia,Sub-Saharan Africa 
CRI,Costa Rica,-84.0089,9.63701,LCN,LAC,IBD,UMC,San Jose,Latin America & Caribbean 
CUB,Cuba,-82.3667,23.1333,LCN,LAC,LNX,UMC,Havana,Latin America & Caribbean 
CUW,Curacao,,,LCN,,LNX,HIC,Willemstad,Latin America & Caribbean 
CYM,Cayman Islands,-81.3857,19.3022,LCN,,LNX,HIC,George Town,Latin America & Caribbean 
CYP,Cyprus,33.3736,35.1676,ECS,,LNX,HIC,Nicosia,Europe & Central Asia
CZE,Czech Republic,14.4205,50.0878,ECS,,LNX,HIC,Prague,Europe & Central Asia
DEU,Germany,13.4115,52.5235,ECS,,LNX,HIC,Berlin,Europe & Central Asia
DJI,Djibouti,43.1425,11.5806,MEA,MNA,IDX,LMC,Djibouti,Middle East & North Africa
DMA,Dominica,-61.39,15.2976,LCN,LAC,IDB,UMC,Roseau,Latin America & Caribbean 
DNK,Denmark,12.5681,55.6763,ECS,,LNX,HIC,Copenhagen,Europe & Central Asia
DOM,Dominican Republic,-69.8908,18.479,LCN,LAC,IBD,UMC,Santo Domingo,Latin America & Caribbean 
DZA,Algeria,3.05097,36.7397,MEA,MNA,IBD,LMC,Algiers,Middle East & North Africa
ECU,Ecuador,-78.5243,-0.229498,LCN,LAC,IBD,UMC,Quito,Latin America & Caribbean 
EGY,"Egypt, Arab Rep.",31.2461,30.0982,MEA,MNA,IBD,LMC,Cairo,Middle East & North Africa
ERI,Eritrea,38.9183,15.3315,SSF,SSA,IDX,LIC,Asmara,Sub-Saharan Africa 
ESP,Spain,-3.70327,40.4167,ECS,,LNX,HIC,Madrid,Europe & Central Asia
EST,Estonia,24.7586,59.4392,ECS,,LNX,HIC,Tallinn,Europe & Central Asia
ETH,Ethiopia,38.7468,9.02274,SSF,SSA,IDX,LIC,Addis Ababa,Sub-Saharan Africa 
FIN,Finland,24.9525,60.1608,ECS,,LNX,HIC,Helsinki,Europe & Central Asia
FJI,Fiji,178.399,-18.1149,EAS,EAP,IDB,UMC,Suva,East Asia & Pacific
FRA,France,2.35097,48.8566,ECS,,LNX,HIC,Paris,Europe & Central Asia
FRO,Faroe Islands,-6.91181,61.8926,ECS,,LNX,HIC,Torshavn,Europe & Central Asia
FSM,"Micronesia, Fed. Sts.",158.185,6.91771,EAS,EAP,IDX,LMC,Palikir,East Asia & Pacific
GAB,Gabon,9.45162,0.38832,SSF,SSA,IBD,UMC,Libreville,Sub-Saharan Africa 
GBR,United Kingdom,-0.126236,51.5002,ECS,,LNX,HIC,London,Europe & Central Asia
